Order;City;Cantidad
1003763462486-01;Sucua;1
1003763493650-01;Guayaquil;11
1003763562873-01;Babahoyo;1
1003770350621-01;Quito;1
1003771980108-01;Quito;14
1003773229813-01;Quito;1
1003780465512-01;Guayaquil;5
1003782219638-01;Guayaquil;1
1003791558126-01;Quito;4
1003800183286-01;Daule;3
1003800652262-01;Esmeraldas;20
1003802601079-01;Guayaquil;1
1003802899099-01;Guayaquil;8
1003811085520-01;Guayaquil;1
1003812810353-01;Manta;1
1003820409932-01;Santa Elena;1
1003830671695-01;Guayaquil;8
1003831183136-01;Nobol;1
1003831753427-01;Guayaquil;2
1003832156517-01;Manta;1
1003840264578-01;Cuenca;2
1003842718636-01;Quito;1
1003842849419-01;Loja;1
1003850004928-01;Quito;2
1003850367470-01;San Lorenzo;1
1003850666687-01;Guayaquil;1
1003851741819-01;Daule;4
1003852061339-01;Ventanas;1
1003860300516-01;Macas;1
1003860973450-01;Quito;5
1003861416147-01;Guayaquil;5
1003870388155-01;Quito;1
1003872090370-01;Guayaquil;14
1003901495325-01;Manta;1
1003951348736-01;Quito;6
1003971671031-01;Quito;4
1003980458122-01;Quito;4
1003981300442-01;Quito;4
1003981417088-01;Loja;1
1003983491120-01;Guayaquil;1
1003990075049-01;Palora;1
1003990543966-01;Marcelino Mariduena;38
1003992864690-01;Quito;1
1004000606069-01;Quito;1
1004001002433-01;Quito;15
1004001372008-01;Guayaquil;3
1004001507177-01;Daule;4
1004003025464-01;Quito;24
1004003134626-01;La Mana;1
1004010441252-01;Palora;15
1004020102200-01;Quito;1
1004020430009-01;Quito;17
1004020904857-01;Guayaquil;29
1004021335964-01;Esmeraldas;1
1004022124068-01;Loja;1
1004022321048-01;Guayaquil;1
1004022367794-01;Machala;27
1004022544235-01;Pedro Carbo;1
1004022975223-01;Quito;9
1004023053989-01;Latacunga;1
1004031106711-01;Guayaquil;1
1004033190873-01;Guayaquil;3
1004033417597-01;Quito;1
1004040248715-01;Quito;5
1004041733366-01;Portoviejo;1
1004050605817-01;Quito;1
1004050705571-01;Quito;1
1004050836583-01;Daule;10
1004051061498-01;Daule;5
1004060247410-01;Guayaquil;1
1004061720573-01;Guayaquil;1
1004062221790-01;Quito;20
1004070913532-01;Quito;1
1004070945181-01;Guayaquil;39
1004080192485-01;Guayaquil;1
1004082048385-01;Guayaquil;29
1004083122047-01;Guayaquil;1
1004090938038-01;Guayaquil;3
1004090938736-01;Guayaquil;2
1004090978067-01;Guayaquil;3
1004091321766-01;Manta;3
1004091535214-01;Quito;35
1004091662616-01;Quito;14
1004093432954-01;Guayaquil;10
1004100808740-01;Puyo;2
1004101752651-01;Guayaquil;13
1004102353108-01;Lago Agrio;30
1004102380209-01;Quito;19
1004102552236-01;Salinas;1
1004102605275-01;Santa Elena;12
1004102810542-01;Antonio Ante;1
1004102819575-01;Quito;2
1004103230816-01;Salinas;1
1004110732610-01;Guayaquil;2
1004111401084-01;Salinas;1
1004111487899-01;Guayaquil;10
1004111661304-01;Quito;5
1004111822879-01;Quito;19
1004111994315-01;Guayaquil;2
1004121104415-01;Quito;2
1004121279715-01;Quito;3
1004121931161-01;Quito;37
1004122066901-01;Guayaquil;22
1004122428528-01;Quito;37
1004131896391-01;Quito;10
1004140509503-01;Quito;10
1004141946197-01;Ventanas;28
1004170545383-01;Machala;1
1004193437031-01;Guayaquil;17
1004211555167-01;Quito;3
1004221983256-01;Quito;1
1004222086233-01;Guayaquil;1
1004223335433-01;Quito;19
1004230934430-01;Cuenca;2
1004232560355-01;Guayaquil;3
1004250459911-01;Loja;29
1004250992296-01;Quito;4
1004252114673-01;Guayaquil;30
1004252249139-01;Quito;21
1004253140100-01;Sucre;1
1004261588172-01;Cuenca;1
1004270196931-01;Quito;15
1004270769860-01;Guayaquil;1
1004270854649-01;Guayaquil;29
1004280249296-01;Machala;1
1004280888303-01;Guayaquil;8
1004281592172-01;Quito;1
1004291627290-01;Quito;1
1004292193745-01;Guayaquil;1
1004292728518-01;Milagro;11
1004293405257-01;Quito;6
1004293495742-01;Santa Lucia;1
1004301268025-01;Guayaquil;10
1004302699488-01;Quito;1
1004321669078-01;Guayaquil;6
1004322598081-01;Quito;1
1004322881851-01;Quito;1
1004322894803-01;Quito;1
1004323464424-01;Quito;1
1004330009181-01;Daule;1
1004330603106-01;Loja;1
1004331876741-01;Guayaquil;6
1004340378933-01;Guayaquil;7
1004340956788-01;Quito;1
1004342428372-01;El Empalme;18
1004351831826-01;Quito;5
1004352636692-01;Quito;23
1004361222184-01;Guayaquil;1
1004363592035-01;Guayaquil;1
1004402627821-01;Quito;1
1004460640390-01;Guayaquil;1
1004461138385-01;Quito;31
1004463011327-01;Urbina Jado - Salitre;1
1004463518114-01;Santo Domingo;1
1004470683298-01;Buena Fe;10
1004472614361-01;Sucre;1
1004472745993-01;Guayaquil;1
1004481421121-01;Quito;21
1004481531948-01;Esmeraldas;1
1004483071537-01;Guayaquil;1
1004491238564-01;Quito;1
1004492519892-01;Guayaquil;1
1004501052123-01;Guayaquil;1
1004501825699-01;Buena Fe;14
1004501905873-01;Guayaquil;33
1004510875801-01;Quito;1
1004511892820-01;Samborondon;28
1004512548570-01;Quito;1
1004513594092-01;Portoviejo;1
1004520993208-01;Cuenca;1
1004522982278-01;Quito;14
1004530469548-01;Quito;1
1004530555834-01;Quito;1
1004531387683-01;Quito;1
1004532352306-01;Guayaquil;1
1004532438683-01;Buena Fe;24
1004540017164-01;Quito;1
1004541840337-01;Guayaquil;1
1004542822276-01;Guayaquil;1
1004550014636-01;Daule;33
1004552443838-01;Quito;27
1004553191503-01;Riobamba;1
1004553352516-01;Quito;1
1004560538553-01;El Carmen;1
1004560723410-01;Quito;2
1004572466484-01;Quito;1
1004573138704-01;Quito;1
1004573596327-01;Salinas;13
1004581021293-01;Quito;9
1004581728662-01;Guayaquil;1
1004582018624-01;Guayaquil;1
1004583098742-01;Ruminahui;20
1004590306183-01;Quito;2
1004590859076-01;Guayaquil;1
1004590921710-01;Quito;1
1004591981650-01;Guayaquil;21
1004592974583-01;Duran;24
1004601602147-01;Quito;6
1004603564054-01;Cuenca;36
1004640988943-01;Quito;16
1004651516049-01;Quito;23
1004651995155-01;Machala;17
1004662091345-01;Marcelino Mariduena;1
1004662619166-01;Quito;19
1004681594664-01;Guayaquil;1
1004691180153-01;Ambato;11
1004692174723-01;Guayaquil;1
1004702773831-01;Santa Cruz;2
1004710541360-01;Quito;22
1004710937273-01;Quito;7
1004711532931-01;Quito;1
1004711776181-01;Ambato;1
1004711776811-01;Esmeraldas;1
1004711897804-01;Quito;10
1004712177367-01;Quevedo;1
1004712265368-01;Azogues;1
1004712280199-01;Portoviejo;1
1004712700157-01;Lomas De Sargentillo;1
1004712919090-01;Cuenca;15
